20251102 184100;0.877660;0.877670;0.877610;0.877660;0
20251102 184200;0.877640;0.877700;0.877610;0.877700;0
20251102 184300;0.877690;0.877710;0.877640;0.877660;0
20251102 184400;0.877690;0.877720;0.877640;0.877660;0
20251102 184500;0.877650;0.877660;0.877620;0.877640;0
20251102 184600;0.877660;0.877660;0.877540;0.877590;0
20251102 184700;0.877660;0.877660;0.877530;0.877560;0
20251102 184800;0.877590;0.877700;0.877570;0.877660;0
20251102 184900;0.877670;0.877680;0.877620;0.877620;0
20251102 185000;0.877630;0.877640;0.877550;0.877580;0
20251102 185100;0.877560;0.877620;0.877460;0.877530;0
20251102 185200;0.877510;0.877590;0.877490;0.877560;0
20251102 185300;0.877570;0.877610;0.877520;0.877550;0
20251102 185400;0.877560;0.877660;0.877540;0.877640;0
20251102 185500;0.877670;0.877690;0.877600;0.877670;0
20251102 185600;0.877680;0.877680;0.877590;0.877600;0
20251102 185700;0.877570;0.877630;0.877510;0.877590;0
20251102 185800;0.877590;0.877670;0.877560;0.877590;0
20251102 185900;0.877580;0.877690;0.877580;0.877610;0
20251102 190000;0.877620;0.877680;0.877570;0.877630;0
20251102 190100;0.877670;0.877810;0.877590;0.877780;0
20251102 190200;0.877790;0.877830;0.877710;0.877710;0
20251102 190300;0.877710;0.877710;0.877570;0.877640;0
20251102 190400;0.877650;0.877690;0.877630;0.877660;0
20251102 190500;0.877640;0.877660;0.877610;0.877620;0
20251102 190600;0.877640;0.877640;0.877600;0.877630;0
20251102 190700;0.877630;0.877670;0.877590;0.877640;0
20251102 190800;0.877620;0.877650;0.877570;0.877580;0
20251102 190900;0.877590;0.877640;0.877590;0.877610;0
20251102 191000;0.877600;0.877600;0.877560;0.877570;0
20251102 191100;0.877590;0.877650;0.877570;0.877610;0
20251102 191200;0.877630;0.877660;0.877590;0.877620;0
20251102 191300;0.877630;0.877750;0.877620;0.877660;0
20251102 191400;0.877670;0.877730;0.877660;0.877720;0
20251102 191500;0.877690;0.877750;0.877660;0.877730;0
20251102 191600;0.877710;0.877740;0.877670;0.877720;0
20251102 191700;0.877710;0.877730;0.877700;0.877730;0
20251102 191800;0.877710;0.877730;0.877690;0.877720;0
20251102 191900;0.877730;0.877760;0.877690;0.877760;0
20251102 192000;0.877740;0.877750;0.877710;0.877730;0
20251102 192100;0.877720;0.877750;0.877720;0.877740;0
20251102 192200;0.877760;0.877790;0.877740;0.877760;0
20251102 192300;0.877760;0.877770;0.877760;0.877770;0
20251102 192400;0.877790;0.877790;0.877780;0.877780;0
20251102 192500;0.877800;0.877850;0.877800;0.877840;0
20251102 192600;0.877860;0.877870;0.877860;0.877870;0
20251102 192800;0.877890;0.877890;0.877840;0.877840;0
20251102 192900;0.877850;0.877850;0.877830;0.877830;0
20251102 193000;0.877840;0.877850;0.877810;0.877850;0
20251102 193100;0.877850;0.877860;0.877810;0.877830;0
20251102 193200;0.877830;0.877830;0.877810;0.877810;0
20251102 193300;0.877830;0.877840;0.877810;0.877810;0
20251102 193400;0.877820;0.877820;0.877780;0.877790;0
20251102 193500;0.877810;0.877810;0.877760;0.877760;0
20251102 193600;0.877740;0.877740;0.877690;0.877720;0
20251102 193700;0.877730;0.877740;0.877710;0.877740;0
20251102 193800;0.877740;0.877750;0.877720;0.877720;0
20251102 193900;0.877720;0.877730;0.877710;0.877730;0
20251102 194000;0.877740;0.877740;0.877730;0.877740;0
20251102 194100;0.877750;0.877780;0.877720;0.877760;0
